SITE,Bird_ID,DATE,Time_ID,T_intervals,T_minutes,X_Estimate,Y_Estimate
TBS,5,16-Jan-03,5,1,15,372637.6079,69856.2599
TBS,5,20-Jan-03,7,,0,371429.3851,69482.1344
TBS,5,22-Jan-03,1,,0,371956.4199,69113.3404
TBS,5,22-Jan-03,2,1,15,372337.0064,70308.078
TBS,5,22-Jan-03,4,2,30,371511.9184,69252.0135
TBS,5,22-Jan-03,5,1,15,372013.8507,68980.981
TBS,5,22-Jan-03,6,1,15,372049.876,68717.3046
TBS,5,22-Jan-03,7,1,15,371438.7944,69417.2569
TBS,5,22-Jan-03,8,1,15,371841.6943,69810.3013
TBS,5,22-Jan-03,9,1,15,371607.5402,69525.1541
TBS,5,22-Jan-03,10,1,15,371726.3953,69201.3631
TBS,5,22-Jan-03,11,1,15,373012.6282,68163.1041
TBS,5,25-Jan-03,1,,0,371748.2965,69155.46
TBS,5,25-Jan-03,2,1,15,371875.8718,68479.6092
TBS,5,25-Jan-03,3,1,15,372380.6947,70451.6333
TBS,5,25-Jan-03,7,4,60,372891.2358,67714.611
TBS,5,25-Jan-03,10,3,45,372862.8423,70258.3186
TBS,5,25-Jan-03,11,1,15,371865.3973,69576.3048
TBS,5,25-Jan-03,12,1,15,372393.4151,70241.9259
TBS,5,25-Jan-03,13,1,15,371511.3487,69338.2793
TBS,5,28-Jan-03,1,,0,371522.9557,69352.112
TBS,5,28-Jan-03,4,3,45,371514.281,69341.7739
TBS,5,28-Jan-03,5,1,15,374161.6328,69908.3317
TBS,5,28-Jan-03,6,1,15,371517.1916,69345.2426
TBS,5,28-Jan-03,7,1,15,372091.0857,69993.3138
TBS,5,30-Jan-03,1,,0,371519.563,71860.3652
TBS,5,30-Jan-03,3,2,30,372497.82,70513.91
TBS,5,30-Jan-03,4,1,15,371565.0487,69362.0333
TBS,5,30-Jan-03,7,3,45,370722.2781,70038.155
TBS,5,30-Jan-03,9,2,30,371126.9432,69874.6596
TBS,5,3-Feb-03,4,,0,371144.9528,69882.5846
TBS,5,3-Feb-03,5,1,15,371895.3995,69470.487
TBS,5,3-Feb-03,6,1,15,371823.374,69650.6585
TBS,5,18-Feb-03,1,,0,372833.0107,67784.001
TBS,5,18-Feb-03,5,4,60,372042.4213,68925.7461
TBS,5,18-Feb-03,6,1,15,371511.9102,69371.0141
TBS,5,18-Feb-03,7,1,15,371571.7891,69287.0663
TBS,5,20-Feb-03,1,,0,372309.9514,70224.6178
TBS,5,20-Feb-03,4,3,45,371085.9568,68706.8075
TBS,5,24-Feb-03,1,,0,372593.5654,70436.431
TBS,5,24-Feb-03,2,1,15,372517.5729,70445.0235
TBS,5,24-Feb-03,3,1,15,372482.7426,70298.2927
TBS,5,24-Feb-03,4,1,15,372475.4146,70177.543
TBS,5,24-Feb-03,5,1,15,372600.1019,70044.9769
TBS,5,24-Feb-03,6,1,15,372289.1694,70383.5307
TBS,5,24-Feb-03,7,1,15,372304.0387,70212.1843
TBS,5,24-Feb-03,8,1,15,372310.5846,70290.7715
TBS,5,24-Feb-03,10,2,30,372573.8113,69973.2041
